#GADA 1.0
# NumArgs = 12 
# CallStr = GADA -a 0.8 -T 5 -M 3 -s -0.2 -b 0.0 -c 
# Parsing Arguments: 
# a= 0.8 
# T= 5 
# MinLen= 3 
# sigma2= -0.2 
# BaseAmp= 0 
# -c option activated to classify segments into altered states
#Parameter setting: a=0.8,T=5,MinLen=3,sigma2=-0.2,BaseAmp=0
# Reading M=80000 probes in input file
#      SBL: Converged after 434 iterations within tolerance 1e-010, M=480 
# Overall mean 0.00135799
# Sigma^2=0.207949
# Found 480 breakpoints after SBL
# Kept 440 breakpoints after BE
# Making segments
# BaseAmp=0 
# Classify Segments 
Start	Stop	Lenght	Ampl	State
29323	29394	72	0.826245	G
29395	30689	1295	0.0115457	N
30690	30726	37	1.04065	G
30727	30769	43	-1.06017	L
30770	31170	401	-0.00684	N
31171	31274	104	-1.02847	L
31275	32341	1067	0.0115023	N
32342	32384	43	-1.01537	L
32385	32651	267	0.978237	G
32652	32697	46	-1.18363	L
32698	33098	401	-0.0143346	N
33099	33217	119	0.96357	G
33218	33343	126	-1.01866	L
33344	35510	2167	0.00527191	N
35511	35757	247	-0.975255	L
35758	36258	501	1.02978	G
36259	36303	45	-0.938394	L
36304	37259	956	0.000986437	N
37260	37550	291	0.964479	G
37551	37671	121	-1.03026	L
37672	38087	416	0.0318718	N
38088	38392	305	-1.01393	L
38393	38962	570	0.0089796	N
38963	39088	126	0.985427	G
39089	39934	846	0.0106373	N
39935	40001	67	0.969553	G
40002	40438	437	-0.011581	N
40439	40631	193	0.964439	G
40632	41030	399	0.0260162	N
41031	41414	384	0.972696	G
41415	41487	73	-0.946519	L
41488	42132	645	-0.0105336	N
42133	42149	17	-0.965171	L
42150	42552	403	-0.000157949	N
42553	42625	73	1.02957	G
42626	43026	401	0.0307959	N
43027	43129	103	0.991962	G
43130	43526	397	-0.0106261	N
43527	43741	215	-0.991709	L
43742	44413	672	0.0187231	N
44414	44690	277	-0.992057	L
44691	44893	203	1.03591	G
44894	45294	401	-0.0163848	N
45295	45477	183	-0.973436	L
45478	45830	353	0.974363	G
45831	46137	307	-1.05371	L
46138	47993	1856	0.0150221	N
47994	48124	131	0.974961	G
48125	48227	103	-1.06334	L
48228	48627	400	0.014266	N
48628	48787	160	-1.07969	L
48788	49189	402	-0.0338877	N
49190	49273	84	-1.0647	L
49274	49366	93	1.01982	G
49367	50638	1272	0.00607402	N
50639	50678	40	0.951143	G
50679	50862	184	-0.961864	L
50863	51045	183	0.912929	G
51046	51224	179	-1.07237	L
51225	51401	177	0.915585	G
51402	51544	143	-0.994776	L
51545	53167	1623	0.0188825	N
53168	53190	23	-0.904037	L
53191	53302	112	0.907826	G
53303	53935	633	-0.0207729	N
53936	54071	136	-0.990251	L
54072	54212	141	1.0123	G
54213	54330	118	-1.08629	L
54331	54958	628	0.0129947	N
54959	55033	75	0.985034	G
55034	55165	132	-0.97859	L
55166	55297	132	1.00293	G
55298	55427	130	-1.01264	L
55428	55556	129	0.983492	G
55557	55684	128	-1.06977	L
55685	55811	127	0.996492	G
55812	55847	36	-0.838017	L
55848	56488	641	0.0334596	N
56489	56552	64	1.08755	G
56553	56673	121	-1.00765	L
56674	56792	119	0.989412	G
56793	56894	102	-1.078	L
56895	57606	712	-0.0401857	N
57607	57697	91	1.02157	G
57698	58195	498	0.00223193	N
58196	58275	80	-1.13944	L
58276	58384	109	0.957321	G
58385	58419	35	-0.84868	L
58420	58826	407	0.0113982	N
58827	58920	94	-1.01856	L
58921	59026	106	0.89397	G
59027	59429	403	-0.0113112	N
59430	59442	13	1.26986	G
59443	59525	83	-1.02162	L
59526	59927	402	-0.00266729	N
59928	59949	22	-1.08302	L
59950	60049	100	1.01369	G
60050	60149	100	-1.00261	L
60150	60248	99	0.995832	G
60249	60345	97	-1.00014	L
60346	60445	100	0.898649	G
60446	60542	97	-0.936241	L
60543	60639	97	0.923498	G
60640	60736	97	-1.03344	L
60737	60832	96	0.987115	G
60833	60928	96	-1.03626	L
60929	61023	95	0.914138	G
61024	61118	95	-1.06343	L
61119	61213	95	0.967621	G
61214	61307	94	-0.957134	L
61308	61400	93	0.981698	G
61401	61494	94	-0.917918	L
61495	61587	93	1.00191	G
61588	61679	92	-1.05052	L
61680	61771	92	0.983584	G
61772	61863	92	-0.949831	L
61864	61954	91	1.02501	G
61955	62045	91	-0.98471	L
62046	62135	90	1.07286	G
62136	62226	91	-0.955981	L
62227	62315	89	0.941285	G
62316	62323	8	-1.005	L
62324	62723	400	-0.0119644	N
62724	62759	36	-1.08031	L
62760	62847	88	1.05884	G
62848	62934	87	-1.01609	L
62935	63021	87	0.897477	G
63022	63108	87	-0.94567	L
